date,count
2021/1/1,0
2021/1/2,0
2021/1/3,0
2021/1/4,0
2021/1/5,3
2021/1/6,0
2021/1/7,0
2021/1/8,0
2021/1/9,0
2021/1/10,0
2021/1/11,1
2021/1/12,0
2021/1/13,1
2021/1/14,0
2021/1/15,1
2021/1/16,0
2021/1/17,0
2021/1/18,0
2021/1/19,0
2021/1/20,0
2021/1/21,0
2021/1/22,0
2021/1/23,1
2021/1/24,0
2021/1/25,0
2021/1/26,0
2021/1/27,0
2021/1/28,0
2021/1/29,0
2021/1/30,0
2021/1/31,0
2021/2/1,0
2021/2/2,1
2021/2/3,1
2021/2/4,0
2021/2/5,0
2021/2/6,0
2021/2/7,0
2021/2/8,0
2021/2/9,0
2021/2/10,1
2021/2/11,0
2021/2/12,0
2021/2/13,0
2021/2/14,0
2021/2/15,0
2021/2/16,0
2021/2/17,0
2021/2/18,0
2021/2/19,1
2021/2/20,0
2021/2/21,0
2021/2/22,0
2021/2/23,0
2021/2/24,0
2021/2/25,1
2021/2/26,2
2021/2/27,2
2021/2/28,0
2021/3/1,0
2021/3/2,0
2021/3/3,0
2021/3/4,0
2021/3/5,0
2021/3/6,0
2021/3/7,1
2021/3/8,2
2021/3/9,3
2021/3/10,1
2021/3/11,2
2021/3/12,10
2021/3/13,3
2021/3/14,6
2021/3/15,10
2021/3/16,5
2021/3/17,6
2021/3/18,2
2021/3/19,1
2021/3/20,4
2021/3/21,4
2021/3/22,0
2021/3/23,1
2021/3/24,4
2021/3/25,0
2021/3/26,2
2021/3/27,2
2021/3/28,1
2021/3/29,0
2021/3/30,1
2021/3/31,3
2021/4/1,7
2021/4/2,13
2021/4/3,11
2021/4/4,16
2021/4/5,8
2021/4/6,11
2021/4/7,9
2021/4/8,2
2021/4/9,19
2021/4/10,13
2021/4/11,15
2021/4/12,31
2021/4/13,18
2021/4/14,6
2021/4/15,10
2021/4/16,7
2021/4/17,12
2021/4/18,9
2021/4/19,38
2021/4/20,4
2021/4/21,21
2021/4/22,26
2021/4/23,19
2021/4/24,17
2021/4/25,7
2021/4/26,8
2021/4/27,8
2021/4/28,4
2021/4/29,5
2021/4/30,7
2021/5/1,3
2021/5/2,0
2021/5/3,1
2021/5/4,1
2021/5/5,3
2021/5/6,5
2021/5/7,5
2021/5/8,3
2021/5/9,2
2021/5/10,3
2021/5/11,0
2021/5/12,1
2021/5/13,0
2021/5/14,1
2021/5/15,0
2021/5/16,1
2021/5/17,1
2021/5/18,2
2021/5/19,2
2021/5/20,1
2021/5/21,0
2021/5/22,1
2021/5/23,1
2021/5/24,1
2021/5/25,1
2021/5/26,2
2021/5/27,3
2021/5/28,1
2021/5/29,0
2021/5/30,1
2021/5/31,1
2021/6/1,0
2021/6/2,3
2021/6/3,2
2021/6/4,1
2021/6/5,1
2021/6/6,0
2021/6/7,1
2021/6/8,0
2021/6/9,1
2021/6/10,1
2021/6/11,3
2021/6/12,0
2021/6/13,0
2021/6/14,0
2021/6/15,0
2021/6/16,1
2021/6/17,5
2021/6/18,3
2021/6/19,4
2021/6/20,1
2021/6/21,1
2021/6/22,1
2021/6/23,0
2021/6/24,1
2021/6/25,0
2021/6/26,0
2021/6/27,2
2021/6/28,5
2021/6/29,5
2021/6/30,0
2021/7/1,1
2021/7/2,3
2021/7/3,1
2021/7/4,0
2021/7/5,2
2021/7/6,0
2021/7/7,1
2021/7/8,1
2021/7/9,0
2021/7/10,0
2021/7/11,3
2021/7/12,0
2021/7/13,0
2021/7/14,1
2021/7/15,0
2021/7/16,1
2021/7/17,0
2021/7/18,0
2021/7/19,1
2021/7/20,1
2021/7/21,0
2021/7/22,0
2021/7/23,1
2021/7/24,0
2021/7/25,0
2021/7/26,0
2021/7/27,0
2021/7/28,0
2021/7/29,0
2021/7/30,0
2021/7/31,0
2021/8/1,0
2021/8/2,3
2021/8/3,0
2021/8/4,0
2021/8/5,0
2021/8/6,1
2021/8/7,0
2021/8/8,0
2021/8/9,1
2021/8/10,1
2021/8/11,2
2021/8/12,0
2021/8/13,0
2021/8/14,0
2021/8/15,0
2021/8/16,0
2021/8/17,2
2021/8/18,2
2021/8/19,0
2021/8/20,0
2021/8/21,0
2021/8/22,2
2021/8/23,1
2021/8/24,0
2021/8/25,1
2021/8/26,0
2021/8/27,1
2021/8/28,0
2021/8/29,4
2021/8/30,2
2021/8/31,0
2021/9/1,0
2021/9/2,4
2021/9/3,0
2021/9/4,1
2021/9/5,1
2021/9/6,4
2021/9/7,1
2021/9/8,0
2021/9/9,1
2021/9/10,0
2021/9/11,1
2021/9/12,1
2021/9/13,1
2021/9/14,2
2021/9/15,2
2021/9/16,0
2021/9/17,0
2021/9/18,0
2021/9/19,0
2021/9/20,0
2021/9/21,1
2021/9/22,0
2021/9/23,0
2021/9/24,0
2021/9/25,0
2021/9/26,0
2021/9/27,3
2021/9/28,0
2021/9/29,0
2021/9/30,0
2021/10/1,1
2021/10/2,1
2021/10/3,1
2021/10/4,0
2021/10/5,0
2021/10/6,2
2021/10/7,0
2021/10/8,0
2021/10/9,1
2021/10/10,0
2021/10/11,0
2021/10/12,0
2021/10/13,1
2021/10/14,0
2021/10/15,0
2021/10/16,3
2021/10/17,1
2021/10/18,1
2021/10/19,0
2021/10/20,1
2021/10/21,1
2021/10/22,0
2021/10/23,1
2021/10/24,0
2021/10/25,1
2021/10/26,1
2021/10/27,2
2021/10/28,1
2021/10/29,0
2021/10/30,0
2021/10/31,0
2021/11/1,0
2021/11/2,0
2021/11/3,1
2021/11/4,0
2021/11/5,1
2021/11/6,1
2021/11/7,3
2021/11/8,0
2021/11/9,0
2021/11/10,0
2021/11/11,1
2021/11/12,1
2021/11/13,1
2021/11/14,2
2021/11/15,7
2021/11/16,6
2021/11/17,11
2021/11/18,5
2021/11/19,4
2021/11/20,2
2021/11/21,0
2021/11/22,3
2021/11/23,6
2021/11/24,9
2021/11/25,6
2021/11/26,2
2021/11/27,1
2021/11/28,4
2021/11/29,1
2021/11/30,7
2021/12/1,6
2021/12/2,11
2021/12/3,17
2021/12/4,16
2021/12/5,5
2021/12/6,4
2021/12/7,11
2021/12/8,20
2021/12/9,7
2021/12/10,10
2021/12/11,19
2021/12/12,20
2021/12/13,7
2021/12/14,23
2021/12/15,5
2021/12/16,5
2021/12/17,14
2021/12/18,11
2021/12/19,6
2021/12/20,11
2021/12/21,10
2021/12/22,20
2021/12/23,16
2021/12/24,11
2021/12/25,5
2021/12/26,3
2021/12/27,20
2021/12/28,21
2021/12/29,13
2021/12/30,16
2021/12/31,17
2022/1/1,4
2022/1/2,5
2022/1/3,7
2022/1/4,7
2022/1/5,8
2022/1/6,15
2022/1/7,6
2022/1/8,6
2022/1/9,4
2022/1/10,1
2022/1/11,6
2022/1/12,5
2022/1/13,15
2022/1/14,16
2022/1/15,5
2022/1/16,14
2022/1/17,20
2022/1/18,33
2022/1/19,12
2022/1/20,14
2022/1/21,9
2022/1/22,13
2022/1/23,39
2022/1/24,104
2022/1/25,194
2022/1/26,167
2022/1/27,82
2022/1/28,68
2022/1/29,61
2022/1/30,37
2022/1/31,23
2022/2/1,22
2022/2/2,14
2022/2/3,43
2022/2/4,16
2022/2/5,9
2022/2/6,19
2022/2/7,25
2022/2/8,36
2022/2/9,23
2022/2/10,26
2022/2/11,44
2022/2/12,61
2022/2/13,109
2022/2/14,156
2022/2/15,141
2022/2/16,163
2022/2/17,135
2022/2/18,160
2022/2/19,131
2022/2/20,105
2022/2/21,165
2022/2/22,888
2022/2/23,592
2022/2/24,2095
2022/2/25,265
2022/2/26,2505
2022/2/27,2732
2022/2/28,3255
2022/3/1,2594
2022/3/2,2348
2022/3/3,2396
2022/3/4,1960
2022/3/5,1126
2022/3/6,1340
2022/3/7,2134
2022/3/8,1577
2022/3/9,1543
2022/3/10,1636
2022/3/11,1309
2022/3/12,1418
2022/3/13,1362
2022/3/14,1309
2022/3/15,1310
2022/3/16,1546
2022/3/17,1750
2022/3/18,1463
2022/3/19,1055
2022/3/20,896
2022/3/21,1152
2022/3/22,840
2022/3/23,1090
2022/3/24,1479
2022/3/25,1752
2022/3/26,1086
2022/3/27,1244
2022/3/28,1133
2022/3/29,1195
2022/3/30,1148
2022/3/31,175
2022/4/1,1138
2022/4/2,1146
2022/4/3,1256
2022/4/4,997
2022/4/5,947
2022/4/6,1754
2022/4/7,1436
2022/4/8,1045
2022/4/9,665
2022/4/10,596
2022/4/11,1135
2022/4/12,1532
2022/4/13,1171
2022/4/14,1068
2022/4/15,1002
2022/4/16,689
2022/4/17,672
2022/4/18,1173
2022/4/19,1093
2022/4/20,1285
2022/4/21,946
2022/4/22,927
2022/4/23,800
2022/4/24,725
2022/4/25,1033
2022/4/26,983
2022/4/27,810
2022/4/28,830
2022/4/29,1081
2022/4/30,707
2022/5/1,593
2022/5/2,722
2022/5/3,832
2022/5/4,737
2022/5/5,995
2022/5/6,964
2022/5/7,955
2022/5/8,637
2022/5/9,895
2022/5/10,808
2022/5/11,731
2022/5/12,1232
2022/5/13,636
2022/5/14,1037
2022/5/15,984
2022/5/16,1019
2022/5/17,990
2022/5/18,1905
2022/5/19,1051
2022/5/20,680
2022/5/21,509
2022/5/22,486
2022/5/23,634
2022/5/24,679
2022/5/25,787
2022/5/26,691
2022/5/27,718
2022/5/28,525
2022/5/29,444
2022/5/30,683
2022/5/31,653
2022/6/1,614
2022/6/2,654
2022/6/3,976
2022/6/4,779
2022/6/5,599
2022/6/6,660
2022/6/7,564
2022/6/8,684
2022/6/9,603
2022/6/10,484
2022/6/11,357
2022/6/12,395
2022/6/13,556
2022/6/14,583
2022/6/15,491
2022/6/16,609
2022/6/17,485
2022/6/18,390
2022/6/19,395
2022/6/20,460
2022/6/21,427
2022/6/22,419
2022/6/23,565
2022/6/24,447
2022/6/25,279
2022/6/26,319
2022/6/27,522
2022/6/28,482
2022/6/29,496
2022/6/30,664
2022/7/1,483
2022/7/2,178
2022/7/3,314
2022/7/4,429
2022/7/5,420
2022/7/6,465
2022/7/7,432
2022/7/8,422
2022/7/9,305
2022/7/10,349
2022/7/11,421
2022/7/12,396
2022/7/13,379
2022/7/14,438
2022/7/15,500
2022/7/16,309
2022/7/17,381
2022/7/18,345
2022/7/19,407
2022/7/20,405
2022/7/21,333
2022/7/22,306
2022/7/23,268
2022/7/24,87
2022/7/25,275
2022/7/26,235
2022/7/27,276
2022/7/28,370
2022/7/29,269
2022/7/30,274
2022/7/31,226
2022/8/1,269
2022/8/2,425
2022/8/3,412
2022/8/4,328
2022/8/5,828
2022/8/6,230
2022/8/7,296
2022/8/8,651
2022/8/9,426
2022/8/10,219
2022/8/11,219
2022/8/12,270
2022/8/13,191
2022/8/14,198
2022/8/15,232
2022/8/16,213
2022/8/17,256
2022/8/18,245
2022/8/19,261
2022/8/20,238
2022/8/21,195
2022/8/22,327
2022/8/23,462
2022/8/24,649
2022/8/25,611
2022/8/26,410
2022/8/27,350
2022/8/28,262
2022/8/29,360
2022/8/30,309
2022/8/31,312
2022/9/1,277
2022/9/2,326
2022/9/3,227
2022/9/4,240
2022/9/5,297
2022/9/6,298
2022/9/7,334
2022/9/8,311
2022/9/9,249
2022/9/10,160
2022/9/11,226
2022/9/12,353
2022/9/13,441
2022/9/14,459
2022/9/15,402
2022/9/16,398
2022/9/17,532
2022/9/18,358
2022/9/19,504
2022/9/20,382
2022/9/21,708
2022/9/22,630
2022/9/23,501
2022/9/24,440
2022/9/25,359
2022/9/26,421
2022/9/27,427
2022/9/28,495
2022/9/29,491
2022/9/30,341
2022/10/1,304
2022/10/2,322
2022/10/3,421
2022/10/4,682
2022/10/5,483
2022/10/6,419
2022/10/7,466
2022/10/8,531
2022/10/9,668
2022/10/10,725
2022/10/11,786
2022/10/12,650
2022/10/13,526
2022/10/14,488
2022/10/15,331
2022/10/16,297
2022/10/17,371
2022/10/18,319
2022/10/19,386
2022/10/20,378
2022/10/21,378
2022/10/22,326
2022/10/23,310
2022/10/24,379
2022/10/25,338
2022/10/26,371
2022/10/27,351
2022/10/28,345
2022/10/29,234
2022/10/30,219
2022/10/31,298
2022/11/1,263
2022/11/2,282
2022/11/3,352
2022/11/4,361
2022/11/5,252
2022/11/6,302
2022/11/7,388
2022/11/8,277
2022/11/9,345
2022/11/10,296
2022/11/11,32
2022/11/12,279
2022/11/13,245
2022/11/14,320
2022/11/15,268
2022/11/16,365
2022/11/17,222
2022/11/18,226
2022/11/19,204
2022/11/20,181
2022/11/21,243
2022/11/22,295
2022/11/23,265
2022/11/24,222
2022/11/25,179
2022/11/26,186
2022/11/27,185
2022/11/28,193
2022/11/29,250
2022/11/30,237
2022/12/1,290
2022/12/2,274
2022/12/3,24
2022/12/4,211
2022/12/5,265
2022/12/6,294
2022/12/7,281
2022/12/8,280
2022/12/9,272
2022/12/10,197
2022/12/11,201
2022/12/12,212
2022/12/13,220
2022/12/14,235
2022/12/15,211
2022/12/16,198
2022/12/17,208
2022/12/18,197
2022/12/19,215
2022/12/20,229
2022/12/21,340
2022/12/22,472
2022/12/23,414
2022/12/24,234
2022/12/25,190
2022/12/26,246
2022/12/27,246
2022/12/28,331
2022/12/29,52
2022/12/30,330
2022/12/31,363
2023/1/1,222
