country,weight
Russia,477741
United States,455116
Ukraine,439104
China,247628
Germany,62691
United Kingdom,49214
Japan,44687
India,40691
France,32596
Israel,29432
Poland,28355
Turkey,21314
"Korea, South",12955
Belarus,12272
Hungary,9424
Finland,9294
Brazil,8343
Sweden,7975
Italy,7518
Mali,6761
Afghanistan,6326
Lithuania,6099
Canada,6098
Switzerland,5679
"Korea, North",4983
Australia,4935
Spain,4387
Netherlands,4337
Thailand,4267
Philippines,3887
Vietnam,3669
Egypt,3551
Pakistan,3550
Norway,3344
Kazakhstan,2718
Romania,2707
South Africa,2621
Qatar,2496
Argentina,2408
Denmark,2266
Venezuela,2159
Armenia,1999
Malaysia,1983
Mexico,1922
Greece,1852
Sri Lanka,1822
Belgium,1803
Cuba,1786
Azerbaijan,1776
Bulgaria,1714
Yemen,1711
Austria,1692
Estonia,1506
Lebanon,1294
Latvia,1282
Burma,1239
Sudan,1125
New Zealand,1114
Indonesia,1072
Mongolia,738
Portugal,704
Ireland,620
Cambodia,560
Algeria,547
Uzbekistan,539
Colombia,499
Jordan,482
Chile,471
Niger,443
Laos,437
Zimbabwe,419
Ecuador,401
Turkmenistan,389
Maldives,365
Kenya,341
Nicaragua,331
Luxembourg,327
Tunisia,284
Ethiopia,257
Oman,255
Senegal,251
Albania,248
Paraguay,234
Cyprus,197
Ghana,194
Bahrain,188
Zambia,186
Angola,180
Guatemala,178
United Arab Emirates,163
Honduras,159
Bolivia,133
Cote d'Ivoire,133
Tanzania,133
Benin,119
Uganda,109
Burkina Faso,105
Uruguay,101
Gabon,99
Guyana,98
Namibia,88
Central African Republic,76
Costa Rica,72
Djibouti,68
Cameroon,68
Guinea,50
El Salvador,48
Liberia,45
Papua New Guinea,37
Madagascar,36
Jamaica,28
Malawi,26
Burundi,19
Togo,16
Belize,12
Suriname,10
Lesotho,2
