name,age,position,nation,jpg
"拜登",80,美国总统,美国,1.jpg
"普京",70,俄罗斯总统,俄罗斯,2.jpg
"特朗普",76,美国前总统,美国,3.jpg
"泽连斯基",45,乌克兰总统,乌克兰,4.jpg
"普里戈任",未知,雇佣军组织瓦格纳集团创建者与领导者,俄罗斯,5.jpg
"马克龙",45,法国总统,法国,6.jpg
"扎卢日内",未知,乌军总司令,乌克兰,7.jpg
"佩斯科夫",54,俄罗斯总统新闻秘书,俄罗斯,8.jpg
"卡尔森",31,美国记者,美国,9.jpg
"史默克",未知,CNN主持人,英国,10.jpg
"沃特斯",79,英国摇滚乐队Pink Floyd创始人及前成员,英国,11.jpg
"勒庞",54,法国国民联盟党领袖,法国,12.jpg
"卢卡申科",68,白俄罗斯总统,白俄罗斯,13.jpg
"绍伊古",67,俄罗斯国防部长,俄罗斯,14.jpg
"埃尔多安",69,土耳其总统,土耳其,15.jpg
"梅德韦杰夫",57,俄罗斯联邦安全会议副主席,俄罗斯,16.jpg
"默克尔",68,德国前总理,德国,17.jpg
"拉夫罗夫",74,俄罗斯外交部长,俄罗斯,18.jpg
"佩洛西",82,美国众议院议员,美国,19.jpg
"卡德罗夫",46,车臣共和国首脑,俄罗斯,20.jpg
