,ip,态度,数量,总数量,rate
0,上海,中立,16,30,0.5333333333333333
1,上海,反对,3,30,0.1
2,上海,支持,11,30,0.36666666666666664
3,台湾,中立,18,30,0.6
4,台湾,反对,3,30,0.1
5,台湾,支持,9,30,0.3
6,澳门,中立,6,6,1.0
7,香港,中立,12,30,0.4
8,香港,反对,2,30,0.06666666666666667
9,香港,支持,16,30,0.5333333333333333
10,云南,中立,15,30,0.5
11,云南,反对,2,30,0.06666666666666667
12,云南,支持,13,30,0.43333333333333335
13,内蒙古,中立,13,30,0.43333333333333335
14,内蒙古,反对,3,30,0.1
15,内蒙古,支持,14,30,0.4666666666666667
16,北京,中立,13,30,0.43333333333333335
17,北京,反对,3,30,0.1
18,北京,支持,14,30,0.4666666666666667
19,吉林,中立,16,30,0.5333333333333333
20,吉林,反对,1,30,0.03333333333333333
21,吉林,支持,13,30,0.43333333333333335
22,四川,中立,15,30,0.5
23,四川,反对,2,30,0.06666666666666667
24,四川,支持,13,30,0.43333333333333335
25,天津,中立,16,30,0.5333333333333333
26,天津,反对,3,30,0.1
27,天津,支持,11,30,0.36666666666666664
28,宁夏,中立,11,30,0.36666666666666664
29,宁夏,反对,3,30,0.1
30,宁夏,支持,16,30,0.5333333333333333
31,安徽,中立,10,30,0.3333333333333333
32,安徽,反对,1,30,0.03333333333333333
33,安徽,支持,19,30,0.6333333333333333
34,山东,中立,15,30,0.5
35,山东,反对,3,30,0.1
36,山东,支持,12,30,0.4
37,山西,中立,14,30,0.4666666666666667
38,山西,反对,1,30,0.03333333333333333
39,山西,支持,15,30,0.5
40,广东,中立,17,30,0.5666666666666667
41,广东,支持,13,30,0.43333333333333335
42,广西,中立,17,30,0.5666666666666667
43,广西,反对,3,30,0.1
44,广西,支持,10,30,0.3333333333333333
45,新疆,中立,14,30,0.4666666666666667
46,新疆,反对,3,30,0.1
47,新疆,支持,13,30,0.43333333333333335
48,江苏,中立,15,30,0.5
49,江苏,反对,2,30,0.06666666666666667
50,江苏,支持,13,30,0.43333333333333335
51,江西,中立,9,30,0.3
52,江西,反对,2,30,0.06666666666666667
53,江西,支持,19,30,0.6333333333333333
54,河北,中立,12,30,0.4
55,河北,反对,3,30,0.1
56,河北,支持,15,30,0.5
57,河南,中立,17,30,0.5666666666666667
58,河南,反对,1,30,0.03333333333333333
59,河南,支持,12,30,0.4
60,浙江,中立,19,30,0.6333333333333333
61,浙江,反对,2,30,0.06666666666666667
62,浙江,支持,9,30,0.3
63,海南,中立,12,30,0.4
64,海南,反对,2,30,0.06666666666666667
65,海南,支持,16,30,0.5333333333333333
66,湖北,中立,22,30,0.7333333333333333
67,湖北,反对,1,30,0.03333333333333333
68,湖北,支持,7,30,0.23333333333333334
69,湖南,中立,14,30,0.4666666666666667
70,湖南,支持,16,30,0.5333333333333333
71,甘肃,中立,16,30,0.5333333333333333
72,甘肃,反对,1,30,0.03333333333333333
73,甘肃,支持,13,30,0.43333333333333335
74,福建,中立,10,30,0.3333333333333333
75,福建,反对,5,30,0.16666666666666666
76,福建,支持,15,30,0.5
77,西藏,中立,11,30,0.36666666666666664
78,西藏,反对,3,30,0.1
79,西藏,支持,16,30,0.5333333333333333
80,贵州,中立,11,30,0.36666666666666664
81,贵州,反对,6,30,0.2
82,贵州,支持,13,30,0.43333333333333335
83,辽宁,中立,14,30,0.4666666666666667
84,辽宁,反对,4,30,0.13333333333333333
85,辽宁,支持,12,30,0.4
86,重庆,中立,12,30,0.4
87,重庆,反对,3,30,0.1
88,重庆,支持,15,30,0.5
89,陕西,中立,16,30,0.5333333333333333
90,陕西,反对,1,30,0.03333333333333333
91,陕西,支持,13,30,0.43333333333333335
92,青海,中立,11,30,0.36666666666666664
93,青海,反对,7,30,0.23333333333333334
94,青海,支持,12,30,0.4
95,黑龙江,中立,14,30,0.4666666666666667
96,黑龙江,反对,1,30,0.03333333333333333
97,黑龙江,支持,15,30,0.5
