发布时间,topic0,topic1,topic2,topic3
2022-09-01,50,68,94,65
2022-09-02,56,119,81,70
2022-09-03,51,73,56,47
2022-09-04,60,70,47,63
2022-09-05,55,73,87,82
2022-09-06,47,103,83,65
2022-09-07,55,71,117,91
2022-09-08,69,86,95,61
2022-09-09,79,62,79,29
2022-09-10,52,47,36,25
2022-09-11,97,53,60,16
2022-09-12,188,65,72,28
2022-09-13,186,74,130,51
2022-09-14,156,156,101,46
2022-09-15,141,105,96,60
2022-09-16,126,133,92,47
2022-09-17,112,330,53,37
2022-09-18,88,169,73,28
2022-09-19,116,130,191,67
2022-09-20,112,123,113,34
2022-09-21,198,241,190,79
2022-09-22,172,195,225,38
2022-09-23,105,162,190,44
2022-09-24,96,105,207,32
2022-09-25,97,130,92,40
2022-09-26,90,123,160,48
2022-09-27,118,150,122,37
2022-09-28,131,128,133,103
2022-09-29,150,100,95,146
2022-09-30,110,71,87,73
2022-10-01,117,109,45,33
2022-10-02,113,123,46,40
2022-10-03,114,209,37,61
2022-10-04,177,135,66,304
2022-10-05,127,185,78,93
2022-10-06,132,91,58,138
2022-10-07,119,121,89,137
2022-10-08,187,123,97,124
2022-10-09,179,165,161,163
2022-10-10,223,137,231,134
2022-10-11,215,173,286,112
2022-10-12,138,217,191,104
2022-10-13,145,151,133,97
2022-10-14,117,149,78,144
2022-10-15,86,133,56,56
2022-10-16,108,87,60,42
2022-10-17,146,107,76,42
2022-10-18,101,89,71,58
2022-10-19,130,102,98,56
2022-10-20,120,109,89,60
2022-10-21,105,119,61,93
2022-10-22,111,108,45,62
2022-10-23,126,119,32,33
2022-10-24,138,115,102,24
2022-10-25,94,138,70,36
2022-10-26,105,176,53,37
2022-10-27,107,107,80,57
2022-10-28,106,122,80,37
2022-10-29,95,76,33,30
2022-10-30,74,72,42,31
2022-10-31,103,88,78,29
