word,count
美国,137058
中国,67596
国家,56002
经济,43595
全球,42148
欧洲,35234
西方,34002
视频,33628
市场,32625
北约,30937
战争,29647
制裁,29060
影响,28903
世界,27045
国际,26029
微博,25303
能源,23082
报道,22903
欧盟,22875
总统,22586
持续,22445
局势,21358
时间,20571
价格,19962
俄军,19934
普京,19710
粮食,19056
疫情,19024
出口,19010
美元,18877
天然气,18822
爆发,18441
德国,18440
拜登,18385
提供,17979
增长,17755
公司,17359
连斯基,16977
英国,16874
石油,16763
通胀,16718
导致,16547
国内,16133
地区,15958
上涨,15902
发展,15791
2022,15693
日本,15594
危机,15594
武器,15168
印度,14892
新闻,14855
支持,14634
关注,14167
军事,13961
政策,13729
预期,13467
需求,12756
企业,12242
台湾,12076
面临,12068
情况,12026
乌军,11945
数据,11890
包括,11824
供应,11824
加息,11776
亿美元,11667
未来,11648
进口,11545
消息,11073
风险,10934
预计,10864
发生,10845
计划,10817
结束,10815
战略,10520
发布,10331
美联储,10130
政府,9976
增加,9961
投资,9867
显示,9828
政治,9654
媒体,9652
压力,9463
历史,9375
链接,9370
同比,9346
进一步,9246
目标,9211
希望,9180
油价,9172
下降,9088
带来,8946
原油,8940
接受,8870
俄方,8744
大幅,8738
指出,8719
法国,8507
关系,8355
联合国,8234
小麦,8229
超过,8181
特别,8120
谈判,7957
网页,7931
实施,7915
水平,7816
相关,7770
这是,7766
因素,7668
合作,7665
生产,7653
月份,7556
指数,7512
和平,7477
报告,7420
基辅,7400
波兰,7385
卢布,7339
援助,7302
20,7196
警告,7185
原因,7168
金融,7160
此前,7154
欧元,7077
军队,6990
我国,6986
板块,6963
能力,6926
加剧,6902
社会,6841
应对,6809
财经,6785
成本,6768
分析,6763
减少,6684
资金,6676
下跌,6658
稳定,6649
威胁,6539
首次,6518
两个,6455
会议,6447
民众,6441
导弹,6426
12,6421
之间,6400
近期,6387
官员,6379
行业,6375
资产,6356
2021,6353
土耳其,6305
控制,6287
万吨,6272
