date,count
2022-02-23,592
2022-02-24,2095
2022-02-25,265
2022-02-26,2505
2022-02-27,2732
2022-02-28,3255
2022-03-01,2594
2022-03-02,2348
2022-03-03,2396
2022-03-04,1960
2022-03-05,1126
2022-03-06,1340
2022-03-07,2134
2022-03-08,1577
2022-03-09,1543
2022-03-10,1636
2022-03-11,1309
2022-03-12,1418
2022-03-13,1362
2022-03-14,1309
2022-03-15,1310
2022-03-16,1546
2022-03-17,1750
2022-03-18,1463
2022-03-19,1055
2022-03-20,896
2022-03-21,1152
2022-03-22,840
2022-03-23,1090
2022-03-24,1479
2022-03-25,1752
2022-03-26,1086
2022-03-27,1244
2022-03-28,1133
2022-03-29,1195
2022-03-30,1148
2022-03-31,175
2022-04-01,1138
2022-04-02,1146
2022-04-03,1256
2022-04-04,997
2022-04-05,947
2022-04-06,1754
2022-04-07,1436
2022-04-08,1045
2022-04-09,665
2022-04-10,596
2022-04-11,1135
2022-04-12,1532
2022-04-13,1171
2022-04-14,1068
2022-04-15,1002
2022-04-16,689
2022-04-17,672
2022-04-18,1173
2022-04-19,1093
2022-04-20,1285
2022-04-21,946
2022-04-22,927
2022-04-23,800
2022-04-24,725
2022-04-25,1033
2022-04-26,983
2022-04-27,810
2022-04-28,830
2022-04-29,1081
2022-04-30,707
2022-05-01,593
2022-05-02,722
2022-05-03,832
2022-05-04,737
2022-05-05,995
2022-05-06,964
2022-05-07,955
2022-05-08,637
2022-05-09,895
2022-05-10,808
2022-05-11,731
2022-05-12,1232
2022-05-13,636
2022-05-14,1037
2022-05-15,984
2022-05-16,1019
2022-05-17,990
2022-05-18,1905
2022-05-19,1051
2022-05-20,680
2022-05-21,509
2022-05-22,486
2022-05-23,634
2022-05-24,679
2022-05-25,787
2022-05-26,691
2022-05-27,718
2022-05-28,525
2022-05-29,444
2022-05-30,683
2022-05-31,653
2022-06-01,614
2022-06-02,654
2022-06-03,976
2022-06-04,779
2022-06-05,599
2022-06-06,660
2022-06-07,564
2022-06-08,684
2022-06-09,603
2022-06-10,484
2022-06-11,357
2022-06-12,395
2022-06-13,556
2022-06-14,583
2022-06-15,491
2022-06-16,609
2022-06-17,485
2022-06-18,390
2022-06-19,395
2022-06-20,460
2022-06-21,427
2022-06-22,419
2022-06-23,565
2022-06-24,447
2022-06-25,279
2022-06-26,319
2022-06-27,522
2022-06-28,482
2022-06-29,496
2022-06-30,664
2022-07-01,483
2022-07-02,178
2022-07-03,314
2022-07-04,429
2022-07-05,420
2022-07-06,465
2022-07-07,432
2022-07-08,422
2022-07-09,305
2022-07-10,349
2022-07-11,421
2022-07-12,396
2022-07-13,379
2022-07-14,438
2022-07-15,500
2022-07-16,309
2022-07-17,381
2022-07-18,345
2022-07-19,407
2022-07-20,405
2022-07-21,333
2022-07-22,306
2022-07-23,268
2022-07-24,87
2022-07-25,275
2022-07-26,235
2022-07-27,276
2022-07-28,370
2022-07-29,269
2022-07-30,274
