发布时间,topic0,topic1,topic2,topic3
2022-11-01,57,55,122,29
2022-11-02,72,48,102,60
2022-11-03,52,81,160,59
2022-11-04,77,87,134,63
2022-11-05,53,44,118,37
2022-11-06,71,53,117,61
2022-11-07,88,99,147,54
2022-11-08,78,45,111,43
2022-11-09,82,57,172,34
2022-11-10,51,46,180,19
2022-11-11,4,4,21,3
2022-11-12,53,53,158,15
2022-11-13,39,39,151,16
2022-11-14,91,69,133,27
2022-11-15,75,33,132,28
2022-11-16,91,55,179,40
2022-11-17,46,35,119,22
2022-11-18,30,37,120,39
2022-11-19,37,39,108,20
2022-11-20,38,26,106,11
2022-11-21,42,53,124,24
2022-11-22,69,70,116,40
2022-11-23,45,51,135,34
2022-11-24,49,32,116,25
2022-11-25,29,36,94,20
2022-11-26,43,42,77,24
2022-11-27,37,32,73,43
2022-11-28,45,35,93,20
2022-11-29,51,49,107,43
2022-11-30,53,34,121,29
2022-12-01,41,61,155,33
2022-12-02,57,48,138,31
2022-12-03,6,3,11,4
2022-12-04,43,32,111,25
2022-12-05,65,41,128,31
2022-12-06,64,43,137,50
2022-12-07,64,46,117,54
2022-12-08,47,56,143,34
2022-12-09,51,57,121,43
2022-12-10,37,22,104,34
2022-12-11,43,14,123,21
2022-12-12,42,33,122,15
2022-12-13,54,29,112,25
2022-12-14,33,34,143,25
2022-12-15,28,47,112,24
2022-12-16,43,29,100,26
2022-12-17,69,16,95,28
2022-12-18,56,27,93,21
2022-12-19,60,61,86,8
2022-12-20,52,77,73,27
2022-12-21,54,75,174,37
2022-12-22,55,46,345,26
2022-12-23,45,41,304,24
2022-12-24,53,17,133,31
2022-12-25,56,43,81,10
2022-12-26,67,46,105,28
2022-12-27,60,61,97,28
2022-12-28,85,80,134,32
2022-12-29,9,12,25,6
2022-12-30,56,117,119,38
2022-12-31,109,143,77,34
2023-01-01,85,50,76,11
2023-01-02,19,36,28,14
2023-01-03,76,122,96,119
2023-01-04,51,81,93,47
2023-01-05,51,45,114,36
2023-01-06,95,38,145,33
2023-01-07,40,19,105,26
2023-01-08,41,20,65,17
2023-01-09,49,43,77,22
2023-01-10,52,53,103,53
2023-01-11,71,79,122,89
2023-01-12,52,57,97,38
2023-01-13,42,41,114,17
2023-01-14,58,32,115,18
2023-01-15,40,37,86,29
2023-01-16,68,37,206,67
2023-01-17,55,56,110,20
2023-01-18,52,47,131,35
2023-01-19,59,39,137,14
2023-01-20,82,40,116,22
2023-01-21,43,21,95,14
2023-01-22,48,27,81,10
2023-01-23,40,23,77,25
2023-01-24,44,29,111,10
2023-01-25,63,29,124,11
2023-01-26,76,37,218,14
2023-01-27,74,36,165,26
2023-01-28,65,59,229,19
2023-01-29,95,60,221,35
2023-01-30,76,58,215,46
2023-01-31,81,73,209,32
2023-02-01,93,60,144,27
2023-02-02,69,50,160,26
2023-02-03,93,60,247,42
2023-02-04,61,29,140,26
2023-02-05,50,23,93,35
2023-02-06,43,45,108,28
2023-02-07,58,52,94,33
2023-02-08,65,53,110,35
2023-02-09,50,38,143,42
2023-02-10,58,45,112,25
2023-02-11,52,31,109,18
2023-02-12,68,21,107,15
2023-02-13,72,59,147,26
2023-02-14,51,31,130,30
2023-02-15,55,43,130,37
2023-02-16,49,55,152,54
2023-02-17,64,38,149,31
2023-02-18,80,15,166,48
2023-02-19,88,32,174,50
2023-02-20,137,70,288,69
2023-02-21,226,78,786,67
2023-02-22,202,51,464,81
2023-02-23,234,63,413,81
2023-02-24,920,134,944,104
2023-02-25,310,64,534,75
2023-02-26,306,49,351,47
2023-02-27,209,68,342,49
2023-02-28,182,52,211,45
2023-03-01,145,39,215,34
2023-03-02,207,34,197,37
2023-03-03,204,46,201,47
2023-03-04,105,24,143,42
2023-03-05,99,39,145,20
2023-03-06,377,48,374,29
2023-03-07,139,79,157,29
2023-03-08,100,70,157,43
2023-03-09,77,29,141,38
2023-03-10,78,20,109,15
2023-03-11,86,27,108,25
2023-03-12,66,14,85,25
2023-03-13,54,26,60,34
2023-03-14,70,59,122,29
2023-03-15,62,30,75,140
2023-03-16,69,64,88,78
2023-03-17,54,33,105,70
2023-03-18,86,13,64,38
2023-03-19,66,17,73,31
2023-03-20,91,34,114,19
2023-03-21,177,48,126,25
2023-03-22,170,48,165,18
2023-03-23,129,76,166,22
2023-03-24,85,40,136,13
2023-03-25,100,28,99,21
2023-03-26,55,24,87,11
2023-03-27,65,22,81,20
2023-03-28,73,39,102,12
2023-03-29,54,22,78,28
2023-03-30,59,63,108,34
2023-03-31,53,49,95,30
2023-04-01,76,17,117,17
2023-04-02,58,40,112,10
2023-04-03,54,52,83,29
2023-04-04,62,40,115,15
2023-04-05,77,32,110,9
2023-04-06,99,31,114,9
2023-04-07,71,42,86,10
2023-04-08,65,12,67,34
2023-04-09,55,8,96,80
2023-04-10,67,25,91,61
2023-04-11,66,48,92,66
2023-04-12,79,42,87,30
2023-04-13,86,45,88,64
2023-04-14,67,41,117,118
2023-04-15,86,22,78,25
2023-04-16,58,18,78,31
2023-04-17,73,32,71,30
2023-04-18,19,7,34,6
2023-04-19,65,23,98,12
2023-04-20,65,44,87,11
2023-04-21,50,15,106,8
2023-04-22,30,13,102,34
2023-04-23,51,24,83,23
2023-04-24,65,55,80,19
2023-04-25,54,26,90,21
2023-04-26,72,25,99,21
2023-04-27,107,44,70,12
2023-04-28,75,21,60,17
2023-04-29,40,11,58,20
2023-04-30,44,11,78,13
2023-05-01,38,10,84,11
2023-05-02,57,13,72,13
2023-05-03,23,4,49,52
2023-05-04,61,26,88,57
2023-05-05,66,25,138,42
2023-05-06,50,24,73,39
2023-05-07,39,11,77,19
2023-05-08,63,12,62,7
2023-05-09,61,17,91,23
2023-05-10,62,25,82,9
2023-05-11,57,19,88,12
2023-05-12,60,28,71,25
2023-05-13,64,22,132,22
2023-05-14,71,20,128,30
2023-05-15,92,27,219,19
2023-05-16,73,32,96,24
2023-05-17,55,35,91,13
2023-05-18,80,30,106,22
2023-05-19,63,16,69,12
2023-05-20,61,17,76,12
2023-05-21,63,17,93,10
2023-05-22,59,20,121,12
2023-05-23,61,21,129,13
2023-05-24,51,32,86,8
2023-05-25,59,28,84,16
2023-05-26,46,25,98,27
2023-05-27,93,18,89,18
2023-05-28,78,19,114,15
2023-05-29,78,28,314,27
2023-05-30,52,19,101,30
2023-05-31,67,17,72,38
2023-06-01,53,14,99,23
2023-06-02,59,21,97,14
2023-06-03,53,13,108,17
2023-06-04,60,14,92,34
2023-06-05,56,17,81,21
2023-06-06,63,25,94,11
2023-06-07,67,27,108,21
2023-06-08,55,31,105,32
2023-06-09,43,17,76,19
2023-06-10,28,15,102,12
2023-06-11,61,14,111,6
2023-06-12,37,9,85,9
2023-06-13,22,7,46,8
2023-06-14,50,22,105,9
2023-06-15,59,16,128,18
2023-06-16,40,23,125,19
2023-06-17,53,8,114,17
2023-06-18,48,17,105,10
2023-06-19,60,15,80,6
2023-06-20,71,20,116,21
2023-06-21,44,16,111,16
2023-06-22,53,12,76,16
2023-06-23,50,23,84,11
2023-06-24,108,31,113,182
2023-06-25,96,30,87,144
2023-06-26,28,15,41,42
2023-06-27,58,26,58,52
2023-06-28,67,19,78,33
2023-06-29,42,18,88,27
2023-06-30,41,15,74,17
2023-07-01,32,9,89,24
2023-07-02,58,12,71,18
2023-07-03,43,16,82,19
2023-07-04,70,30,100,24
2023-07-05,97,23,73,31
2023-07-06,36,45,94,17
2023-07-07,38,39,124,20
2023-07-08,38,13,176,9
2023-07-09,43,10,166,16
2023-07-10,48,14,137,18
2023-07-11,74,14,141,20
2023-07-12,37,17,147,29
2023-07-13,54,34,100,11
2023-07-14,62,22,102,15
2023-07-15,34,24,71,4
2023-07-16,59,8,93,10
2023-07-17,42,10,142,18
2023-07-18,62,29,99,21
2023-07-19,59,26,90,13
2023-07-20,54,31,110,39
2023-07-21,46,29,87,20
2023-07-22,44,28,88,20
2023-07-23,47,9,70,7
2023-07-24,40,30,116,24
2023-07-25,55,31,93,17
2023-07-26,33,23,55,20
2023-07-27,42,36,62,35
2023-07-28,47,13,52,21
2023-07-29,35,14,61,12
2023-07-30,34,12,81,25
2023-07-31,36,26,83,19
2023-08-01,36,23,79,28
2023-08-02,45,33,80,23
2023-08-03,45,12,79,11
2023-08-04,26,11,65,31
2023-08-05,3,2,4,3
2023-08-06,37,70,50,20
2023-08-07,49,46,78,18
2023-08-08,48,40,117,24
2023-08-09,46,36,92,17
2023-08-10,42,56,87,32
2023-08-11,20,27,88,24
2023-08-12,40,17,82,12
2023-08-13,24,19,80,10
2023-08-14,27,26,75,25
2023-08-15,24,15,55,25
2023-08-16,35,16,80,16
2023-08-17,66,16,60,26
2023-08-18,49,17,80,14
2023-08-19,27,16,56,14
2023-08-20,15,3,45,3
2023-08-21,32,22,137,15
2023-08-22,42,13,66,29
2023-08-23,36,22,57,16
2023-08-24,50,22,37,51
2023-08-25,39,14,33,60
2023-08-26,31,13,32,31
2023-08-27,44,11,43,17
2023-08-28,20,12,54,7
2023-08-29,35,19,55,7
2023-08-30,35,9,41,25
2023-08-31,24,13,42,41
2023-09-01,32,7,34,11
2023-09-02,24,9,42,12
2023-09-03,22,8,39,17
2023-09-04,37,12,68,7
2023-09-05,31,24,57,20
2023-09-06,42,17,42,11
2023-09-07,30,27,79,7
2023-09-08,27,34,79,14
2023-09-09,33,12,73,9
2023-09-10,53,17,78,17
2023-09-11,69,23,75,18
2023-09-12,34,17,61,17
2023-09-13,52,21,63,22
2023-09-14,38,16,51,11
2023-09-15,37,15,24,5
2023-09-16,21,13,37,15
2023-09-17,13,4,21,7
2023-09-18,40,18,70,15
2023-09-19,49,36,67,11
2023-09-20,57,22,81,16
2023-09-21,42,13,114,23
2023-09-22,47,32,101,15
2023-09-23,31,12,84,16
2023-09-24,29,10,76,2
2023-09-25,40,13,72,11
2023-09-26,45,29,70,13
2023-09-27,22,24,37,16
2023-09-28,27,17,39,13
2023-09-29,20,13,33,7
2023-09-30,22,7,30,7
2023-10-01,14,7,35,12
2023-10-02,13,4,28,2
2023-10-03,29,10,42,10
2023-10-04,22,10,61,14
2023-10-05,3,3,7,2
2023-10-06,24,9,43,9
2023-10-07,49,15,57,50
2023-10-08,174,32,61,129
2023-10-09,197,92,67,120
2023-10-10,137,69,42,91
2023-10-11,150,58,226,96
2023-10-12,126,34,103,69
2023-10-13,142,18,70,41
2023-10-14,141,36,34,52
2023-10-15,113,29,40,46
2023-10-16,151,93,68,47
2023-10-17,85,19,66,30
2023-10-18,110,19,71,45
2023-10-19,120,46,73,45
2023-10-20,119,72,90,32
2023-10-21,84,31,72,36
2023-10-22,73,20,51,31
2023-10-23,79,30,59,40
2023-10-24,85,23,55,38
2023-10-25,69,9,63,28
2023-10-26,57,23,64,29
2023-10-27,110,43,81,62
2023-10-28,75,27,53,26
2023-10-29,87,28,46,38
2023-10-30,87,41,60,77
2023-10-31,93,49,84,39
2023-11-01,87,21,79,25
2023-11-02,70,14,88,31
2023-11-03,65,20,90,44
2023-11-04,64,14,89,48
2023-11-05,69,15,99,31
2023-11-06,64,16,110,23
2023-11-07,67,20,92,43
2023-11-08,48,32,83,27
2023-11-09,67,13,81,38
2023-11-10,30,14,77,18
2023-11-11,51,22,73,25
2023-11-12,53,25,59,21
2023-11-13,31,10,70,22
2023-11-14,49,9,60,34
2023-11-15,55,8,78,26
2023-11-16,43,10,62,11
2023-11-17,50,10,79,10
2023-11-18,43,9,54,18
2023-11-19,45,6,97,16
2023-11-20,40,9,97,22
2023-11-21,49,20,92,23
2023-11-22,43,14,86,18
2023-11-23,41,17,95,27
2023-11-24,24,9,92,17
2023-11-25,28,7,89,24
2023-11-26,42,11,119,37
2023-11-27,30,20,101,25
2023-11-28,40,13,94,14
2023-11-29,45,25,95,25
2023-11-30,66,19,75,21
2023-12-01,52,8,98,13
2023-12-02,32,10,58,10
2023-12-03,39,12,67,7
2023-12-04,58,22,100,22
2023-12-05,55,21,93,30
2023-12-06,26,20,137,17
2023-12-07,47,16,94,22
2023-12-08,51,10,126,19
2023-12-09,44,25,86,18
2023-12-10,41,12,83,18
2023-12-11,60,16,116,11
2023-12-12,40,30,108,19
2023-12-13,36,13,118,11
2023-12-14,40,14,129,9
2023-12-15,34,8,137,9
2023-12-16,49,5,105,10
2023-12-17,39,16,101,10
2023-12-18,37,22,89,13
2023-12-19,28,39,110,14
2023-12-20,29,39,150,36
2023-12-21,50,48,107,45
2023-12-22,57,15,107,30
2023-12-23,63,27,118,18
2023-12-24,25,23,70,39
2023-12-25,54,31,115,24
2023-12-26,40,33,96,21
2023-12-27,42,30,100,20
2023-12-28,67,29,104,12
2023-12-29,23,9,59,19
2023-12-30,30,51,99,109
2023-12-31,94,47,82,27
