word,count
美国,66953
中国,37438
国家,26906
市场,21891
影响,21346
制裁,20569
全球,19716
战争,18905
视频,18639
欧洲,18498
局势,18282
北约,18046
西方,17202
经济,15837
总统,15056
国际,14852
世界,13480
微博,13455
价格,12894
普京,12528
谈判,12506
时间,12315
拜登,11501
持续,11270
欧盟,10479
报道,10318
新闻,10238
能源,10066
上涨,9950
关注,9850
美元,9698
公司,9402
危机,8465
国内,8088
发展,8031
支持,8026
连斯基,7654
和平,7588
石油,7587
俄军,7528
爆发,7446
地区,7317
预期,7288
消息,7263
导致,7232
提供,7190
情况,7168
政治,7165
发生,7020
天然气,7006
中方,6917
风险,6757
媒体,6574
政策,6547
军事,6527
出口,6432
印度,6355
供应,6283
基辅,6229
希望,6220
英国,6184
升级,6176
增长,6176
链接,6115
油价,6109
指数,6080
疫情,6071
包括,5979
A股,5843
进口,5758
板块,5685
相关,5557
记者,5436
德国,5425
企业,5413
历史,5373
特别,5372
加息,5357
通胀,5328
未来,5306
立场,5296
央视,5285
2022,5279
原油,5264
投资,5256
计划,5240
结束,5094
日本,5042
需求,4990
关系,4953
武器,4874
近期,4858
波兰,4808
发布,4764
军事行动,4724
战略,4722
下跌,4692
黄金,4663
小麦,4658
俄方,4631
政府,4589
美联储,4534
资金,4430
网页,4421
金融,4394
引发,4372
数据,4332
今日,4327
人道主义,4325
预计,4287
面临,4254
解决,4220
大国,4203
美方,4177
压力,4167
增加,4161
震荡,4151
难民,4121
分析,4108
情绪,4066
乌方,4050
财经,3947
显示,3940
短期,3934
地缘,3926
社会,3912
实施,3901
指出,3896
目标,3834
资产,3833
信息,3822
股市,3760
加剧,3756
台湾,3755
之间,3746
生产,3739
事件,3727
粮食,3723
民众,3721
联合国,3710
稳定,3642
反弹,3635
原因,3618
土耳其,3602
行业,3599
期货,3589
法国,3518
超过,3505
贸易,3490
呼吁,3488
利益,3483
合作,3478
发言人,3459
2021,3451
白俄罗斯,3445
表现,3414
此前,3382
措施,3376
商品,3371
军队,3358
股份,3358
因素,3321
这场,3297
外长,3233
会议,3222
达成,3195
股票,3190
两个,3172
停止,3154
发表,3152
对话,3141
调整,3122
机会,3109
讨论,3069
协议,3068
超话,3035
涨幅,3030
冲击,3014
科技,3001
资本,2985
系统,2967
大宗,2966
导弹,2954
最新进展,2951
30,2950
我国,2949
万吨,2948
成本,2945
威胁,2940
20,2933
领导人,2925
人民币,2920
库存,2915
提出,2894
25,2892
汽车,2883
禁止,2880
建议,2852
新冠,2852
处于,2847
推动,2842
援助,2829
长期,2823
玉米,2823
事情,2819
12,2817
产品,2801
控制,2799
基金,2798
选择,2786
反对,2782
投资者,2780
欧美,2754
交易,2752
行情,2751
各国,2750
方向,2748
专家,2741
11,2739
工作,2729
采访,2728
机构,2724
平民,2713
领域,2701
打击,2695
走势,2687
态度,2680
官员,2673
方式,2656
寻求,2656
最终,2650
变化,2632
银行,2630
亿美元,2626
生物,2625
一场,2621
应对,2620
回应,2583
苏联,2581
去年,2560
亿元,2553
代表,2539
拒绝,2538
减少,2526
组织,2516
担忧,2512
改变,2512
社交,2509
支撑,2501
近日,2501
会谈,2494
警告,2486
建立,2483
海外,2474
最新,2469
价值,2468
波动,2463
文章,2453
飙升,2444
参与,2439
14,2423
高位,2414
28,2397
技术,2389
能力,2383
作用,2381
真的,2377
集团,2376
研究,2375
对抗,2375
努力,2367
关键,2362
趋势,2339
制造,2332
马克,2327
整体,2308
16,2303
产量,2296
撤离,2294
对此,2292
15,2289
回落,2281
舆论,2274
这一,2267
生活,2265
货币,2250
目的,2250
水平,2249
期间,2248
攻击,2242
新高,2242
下降,2242
外交,2234
表态,2233
越来越,2227
27,2222
代表团,2214
大涨,2210
公布,2208
两国,2206
参加,2203
公民,2196
26,2195
停火,2186
突破,2178
通话,2177
紧张,2160
保障,2151
发现,2147
暂停,2133
同比,2130
状态,2107
意味着,2091
第一,2084
50,2066
芯片,2061
格局,2057
恢复,2057
小时,2055
首次,2051
北京,2047
报告,2044
乌克兰人,2044
背后,2033
油气,2032
有望,2029
观点,2028
主席,2026
100,2023
冷战,2022
本周,2012
依然,2008
新能源,2008
依赖,2004
签署,1990
一种,1988
供应链,1971
平台,1968
重点,1967
盟友,1959
个股,1958
境内,1957
短缺,1954
担心,1946
概念,1945
综合,1939
当天,1936
周期,1927
公开,1923
操作,1912
核武器,1912
连续,1911
外国,1908
欧元,1905
资源,1899
快手,1895
卫星,1889
陷入,1888
空间,1886
作出,1884
只能,1879
实验室,1877
时代,1872
21,1870
边境,1870
白宫,1857
城市,1855
化肥,1848
谴责,1840
力量,1828
形势,1822
程度,1820
战场,1820
莫斯科,1815
人士,1809
军事冲突,1808
损失,1807
拥有,1801
环球时报,1799
美股,1796
月份,1796
声明,1790
会晤,1783
煤炭,1780
涨价,1778
各方,1774
面对,1774
峰会,1774
顿巴斯,1773
农业,1766
活动,1765
乌军,1761
承诺,1759
发动,1757
霸权,1757
评论,1754
跌幅,1753
利用,1751
避险,1751
中立,1745
17,1743
成员国,1739
点击,1738
推进,1737
确保,1733
部队,1732
预测,1731
大规模,1730
价格上涨,1722
全世界,1722
概率,1720
核心,1719
一点,1711
2020,1706
央行,1705
消费,1702
军工,1700
迎来,1699
作战,1696
告诉,1694
地位,1693
金融市场,1689
基本面,1689
18,1689
购买,1689
外交部,1687
习近平,1683
进展,1675
卢布,1669
